Número,Fecha (dd/mm/aa),Nombre actividad,Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
87,2025-11-06,lucky wings,284.0,300.0,1 hora 30 min,Alimento,3.0,1.0
88,2025-11-07,Pastel regalo,86.0,100.0,30 min,Alimento,2.0,1.0
89,2025-11-08,No hubo gastos,,,,,,
90,2025-11-09,Rosendo/ Oxxo,213.0,200.0,1 hora,Alimento,1.0,1.0
91,2025-11-10,HEB,175.0,200.0,1 hora,Alimento,3.0,1.0
92,2025-11-11,No hubo gastos,,,,,,
93,2025-11-12,Oxxo,23.0,50.0,10 min,Alimento,1.0,1.0
94,2025-11-13,No hubo gastos,,,,,,
95,2025-11-14,Oxxo,42.0,50.0,15 min,Alimento,1.0,1.0
96,2025-11-15,Cena/ Oxxo,502.45,500.0,2 horas,Alimento,3.0,1.0
97,2025-11-16,Oxxo,63.0,100.0,1 hora,Alimento,3.0,1.0
98,2025-11-17,Ropa,4132.96,4000.0,3 horas,Ropa,2.0,1.0
99,2025-11-18,Sephora/ Zara,1214.0,1500.0,2 horas,Ocio,2.0,1.0
100,2025-11-19,Costco,708.0,800.0,40 min,Ocio,2.0,2.0
101,2025-11-20,Oxxo,136.5,200.0,1 hora,Alimento,2.0,2.0
102,2025-11-21,Farmacia ,179.0,200.0,15 min,Salud,1.0,1.0
103,2025-11-22,Oxxo,102.0,150.0,40 min,Alimento,2.0,2.0
104,2025-11-23,Regalo ,558.0,800.0,20 min,Ocio,2.0,1.0
105,2025-11-24,No hubo gastos,,,,,,
106,2025-11-25,No hubo gastos,,,,,,
107,2025-11-26,Oxxo/ Elotes,268.5,300.0,2 horas,Alimento,3.0,2.0
108,2025-11-27,Rosendo/ Oxxo,246.0,200.0,1 hora 30 min,Alimento,2.0,1.0
109,2025-11-28,No hubo gastos,,,,,,
110,2025-11-29,Desayuno,305.0,300.0,2 horas,Alimento,1.0,2.0
111,2025-11-30,Gasolina,900.0,900.0,10 min,Transporte,1.0,1.0
112,2025-12-01,Farmacia ,108.0,200.0,15 min,Salud,2.0,1.0
